X,Y,Location,Cult,Image
-121.401604,36.852455,"Hollister, CA",Christian Biblical Church of God,http://silenced.co/wp-content/uploads/2011/04/bsg_earthfire_130.jpg
151.206985,-33.867489,Sydney NSW,Christian Biblical Church of God,http://silenced.co/wp-content/uploads/2011/04/bsg_earthfire_130.jpg
-75.684288,44.589523,"Brockville, ON",Christian Biblical Church of God,http://silenced.co/wp-content/uploads/2011/04/bsg_earthfire_130.jpg
174.763336,-36.848461,Auckland,Christian Biblical Church of God,http://silenced.co/wp-content/uploads/2011/04/bsg_earthfire_130.jpg
28.516666,-27.283333,Frankfort,Christian Biblical Church of God,http://silenced.co/wp-content/uploads/2011/04/bsg_earthfire_130.jpg
0.641918,51.800564,"Witham, Essex",Christian Biblical Church of God,http://silenced.co/wp-content/uploads/2011/04/bsg_earthfire_130.jpg
