city,state,region,estimated_attendance,region_size,cartodb_id,created_at,updated_at,cartodb_georef_status,longitude_0,latitude_0,geojson
Huntsville,Alabama,Atlanta District ,271,"3,262",71,14:30.2,16:19.4,TRUE,-86.58498,34.72913,"{""type"":""Point"",""coordinates"":[-86.58498,34.72913]}"
Macon,Georgia,Atlanta District ,271,"3,262",74,14:30.2,16:21.0,TRUE,-83.62758,32.83968,"{""type"":""Point"",""coordinates"":[-83.62758,32.83968]}"
New Orleans,Louisiana,Atlanta District ,271,"3,262",77,14:30.2,16:22.3,TRUE,-90.07775,29.9537,"{""type"":""Point"",""coordinates"":[-90.07775,29.9537]}"
Mobile,Alabama,Atlanta District ,271,"3,262",76,14:30.2,16:21.9,TRUE,-88.05324,30.68639,"{""type"":""Point"",""coordinates"":[-88.05324,30.68639]}"
Cape Girardeau,Missouri,Nashville District ,255,"2,815",80,14:30.2,16:23.7,TRUE,-89.54453,37.30271,"{""type"":""Point"",""coordinates"":[-89.54453,37.30271]}"
Knoxville,Tennessee,Nashville District ,255,"2,815",83,14:30.2,16:25.5,TRUE,-83.92091,35.96049,"{""type"":""Point"",""coordinates"":[-83.92091,35.96049]}"
Louisville,Kentucky,Nashville District ,255,"2,815",85,14:30.2,16:26.7,TRUE,-85.7664,38.25486,"{""type"":""Point"",""coordinates"":[-85.7664,38.25486]}"
Memphis,Tennessee,Nashville District ,255,"2,815",86,14:30.2,16:27.1,TRUE,-90.04925,35.14976,"{""type"":""Point"",""coordinates"":[-90.04925,35.14976]}"
Charleston,West Virgnia,Akron District ,297,"3,275",90,14:30.2,16:29.3,TRUE,-81.633333,38.347222,"{""type"":""Point"",""coordinates"":[-81.633333,38.347222]}"
Columbus,Ohio,Akron District ,297,"3,275",93,14:30.2,16:30.9,TRUE,-83.00275,39.96199,"{""type"":""Point"",""coordinates"":[-83.00275,39.96199]}"
Pittsburgh,Pennsylvania,Akron District ,297,"3,275",95,14:30.2,16:32.0,TRUE,-79.99747,40.43834,"{""type"":""Point"",""coordinates"":[-79.99747,40.43834]}"
Youngstown,Ohio,Akron District ,297,"3,275",98,14:30.2,16:33.6,TRUE,-80.65079,41.0981,"{""type"":""Point"",""coordinates"":[-80.65079,41.0981]}"
Ann Arbor,Michigan,Detroit District ,325,"1,951",100,14:30.2,16:34.6,TRUE,-83.74847,42.2821,"{""type"":""Point"",""coordinates"":[-83.74847,42.2821]}"
South Bend,Michigan,Detroit District ,325,"1,951",103,14:30.2,16:36.3,TRUE,-86.25404,41.67905,"{""type"":""Point"",""coordinates"":[-86.25404,41.67905]}"
Chicago,Illinois,Chicago District ,604,"3,631",105,14:30.2,16:37.3,TRUE,-87.63245,41.88425,"{""type"":""Point"",""coordinates"":[-87.63245,41.88425]}"
Fort Wayne,Indiana,Chicago District ,302,"3,631",108,14:30.2,16:38.8,TRUE,-85.13831,41.08026,"{""type"":""Point"",""coordinates"":[-85.13831,41.08026]}"
La Grange,Wisconsin,Chicago District ,302,"3,631",110,14:30.2,16:39.9,TRUE,-87.86959,41.81399,"{""type"":""Point"",""coordinates"":[-87.86959,41.81399]}"
Peoria,Illinois,Chicago District ,302,"3,631",113,14:30.2,16:41.5,TRUE,-89.609444,40.720833,"{""type"":""Point"",""coordinates"":[-89.609444,40.720833]}"
Canada,,International,,"1,834",115,14:30.2,16:42.6,TRUE,-75.6979,45.4235,"{""type"":""Point"",""coordinates"":[-75.6979,45.4235]}"
Germany,,International,,155,118,14:30.2,16:44.1,TRUE,13.4111,52.5242,"{""type"":""Point"",""coordinates"":[13.4111,52.5242]}"
South Africa,,International,,274,120,14:30.2,16:45.0,TRUE,28.1872,-25.7456,"{""type"":""Point"",""coordinates"":[28.1872,-25.7456]}"
