longitude,latitude,Location,Cult,Image
-94.57856218,39.09972712,"Kansas City, MO",Living Church of God,http://silenced.co/wp-content/uploads/2011/05/living.jpg
-91.77152605,37.94854519,"Rolla, MO",Living Church of God,http://silenced.co/wp-content/uploads/2011/05/living.jpg
-93.29229395,37.20895897,"Springfield, MO",Living Church of God,http://silenced.co/wp-content/uploads/2011/05/living.jpg
-94.83653801,39.75794711,"St Joseph, MO",Living Church of God,http://silenced.co/wp-content/uploads/2011/05/living.jpg
-90.19939961,38.62700702,"St Louis, MO",Living Church of God,http://silenced.co/wp-content/uploads/2011/05/living.jpg
-88.42726183,33.49567655,"Columbus, MS",Living Church of God,http://silenced.co/wp-content/uploads/2011/05/living.jpg
-90.18480581,32.29876031,"Jackson, MS",Living Church of God,http://silenced.co/wp-content/uploads/2011/05/living.jpg
-89.13060855,31.69405522,"Laurel, MS",Living Church of God,http://silenced.co/wp-content/uploads/2011/05/living.jpg
-88.82780397,30.41131365,"Ocean Springs, MS",Living Church of God,http://silenced.co/wp-content/uploads/2011/05/living.jpg
-111.2951956,47.50806109,"Great Falls, MT",Living Church of God,http://silenced.co/wp-content/uploads/2011/05/living.jpg
-112.0270295,46.59580647,"Helena, MT",Living Church of God,http://silenced.co/wp-content/uploads/2011/05/living.jpg
-79.81364373,35.70791463,"Asheboro, NC",Living Church of God,http://silenced.co/wp-content/uploads/2011/05/living.jpg
-82.55148233,35.59506207,"Asheville, NC",Living Church of God,http://silenced.co/wp-content/uploads/2011/05/living.jpg
-80.84312233,35.22708901,"Charlotte, NC",Living Church of God,http://silenced.co/wp-content/uploads/2011/05/living.jpg
-78.638614,35.7720969,"Raleigh, NC",Living Church of God,http://silenced.co/wp-content/uploads/2011/05/living.jpg
-80.88729521,35.78263771,"Statesville, NC",Living Church of God,http://silenced.co/wp-content/uploads/2011/05/living.jpg
-77.94470536,34.22572625,"Wilmington, NC",Living Church of God,http://silenced.co/wp-content/uploads/2011/05/living.jpg
-100.7837387,46.80833015,"Bismarck, ND",Living Church of God,http://silenced.co/wp-content/uploads/2011/05/living.jpg
-95.99798578,41.25236447,"Omaha, NE",Living Church of God,http://silenced.co/wp-content/uploads/2011/05/living.jpg
-72.25175551,43.64229727,"Lebanon, NH",Living Church of God,http://silenced.co/wp-content/uploads/2011/05/living.jpg
-74.29959033,40.65842382,"Cranford, NJ",Living Church of God,http://silenced.co/wp-content/uploads/2011/05/living.jpg
-74.80238184,39.63650721,"Hammonton, NJ",Living Church of God,http://silenced.co/wp-content/uploads/2011/05/living.jpg
-106.6099866,35.11070593,"Albuquerque, NM",Living Church of God,http://silenced.co/wp-content/uploads/2011/05/living.jpg
-106.7234619,32.4857685,"El Paso/Las Cruces, NM",Living Church of God,http://silenced.co/wp-content/uploads/2011/05/living.jpg
-105.9377987,35.68697739,"Santa Fe, NM",Living Church of God,http://silenced.co/wp-content/uploads/2011/05/living.jpg
-115.1728117,36.11465077,"Las Vegas, NV",Living Church of God,http://silenced.co/wp-content/uploads/2011/05/living.jpg
-119.8138006,39.52963348,"Reno, NV",Living Church of God,http://silenced.co/wp-content/uploads/2011/05/living.jpg
-73.75622861,42.65258061,"Albany, NY",Living Church of God,http://silenced.co/wp-content/uploads/2011/05/living.jpg
-77.05468822,42.1428535,"Corning, NY",Living Church of God,http://silenced.co/wp-content/uploads/2011/05/living.jpg
-73.41512013,40.7934351,"Melville, NY",Living Church of God,http://silenced.co/wp-content/uploads/2011/05/living.jpg
-74.00597225,40.71435313,"New York City, NY",Living Church of God,http://silenced.co/wp-content/uploads/2011/05/living.jpg
-77.61092016,43.16103181,"Rochester, NY",Living Church of God,http://silenced.co/wp-content/uploads/2011/05/living.jpg
-76.14742265,43.04812277,"Syracuse, NY",Living Church of God,http://silenced.co/wp-content/uploads/2011/05/living.jpg
-81.51900135,41.08144598,"Akron, OH",Living Church of God,http://silenced.co/wp-content/uploads/2011/05/living.jpg
-84.51201905,39.10311899,"Cincinnati, OH",Living Church of God,http://silenced.co/wp-content/uploads/2011/05/living.jpg
-82.99879095,39.96117681,"Columbus, OH",Living Church of God,http://silenced.co/wp-content/uploads/2011/05/living.jpg
-84.10522165,40.74255278,"Lima, OH",Living Church of God,http://silenced.co/wp-content/uploads/2011/05/living.jpg
-97.51642639,35.46756132,"Oklahoma City, OK",Living Church of God,http://silenced.co/wp-content/uploads/2011/05/living.jpg
-95.99277415,36.15398394,"Tulsa, OK",Living Church of God,http://silenced.co/wp-content/uploads/2011/05/living.jpg
-123.3283895,42.43900751,"Grants Pass, OR",Living Church of God,http://silenced.co/wp-content/uploads/2011/05/living.jpg
-122.6762069,45.52345275,"Portland, OR",Living Church of God,http://silenced.co/wp-content/uploads/2011/05/living.jpg
-76.8844139,40.27370425,"Harrisburg, PA",Living Church of God,http://silenced.co/wp-content/uploads/2011/05/living.jpg
-79.99588419,40.44062753,"Pittsburgh, PA",Living Church of God,http://silenced.co/wp-content/uploads/2011/05/living.jpg
-75.19462186,40.98676566,"Stroudsburg, PA",Living Church of God,http://silenced.co/wp-content/uploads/2011/05/living.jpg
