url,description,address,status,date,type,latitude,longitude
http://seeclickfix.com/minneapolis?at=&page=2&q=light&sort_col=hot&sort_dir=desc&status%5BAcknowledged%5D=true&status%5BClosed%5D=true&status%5BOpen%5D=true,Street Light,"3805 36th Avenue S Minneapolis, MN 55406 ",Acknowledged,7/31/2014,Lights,44.933932,-93.220045
http://seeclickfix.com/minneapolis?at=&page=3&q=light&sort_col=hot&sort_dir=desc&status%5BAcknowledged%5D=true&status%5BClosed%5D=true&status%5BOpen%5D=true,Street Light,"1094 11th Avenue SE Minneapolis, MN 55414 ",Acknowledged,7/29/2014,Lights,44.990682,-93.235483
http://seeclickfix.com/minneapolis?at=&page=3&q=street&sort_col=hot&sort_dir=desc&status%5BAcknowledged%5D=true&status%5BClosed%5D=true&status%5BOpen%5D=true,Street Light,"301-337 N 1st Street Minneapolis, MN 55401 ",Acknowledged,9/10/2014,Lights,44.986545,-93.270699
http://seeclickfix.com/minneapolis?at=&page=3&q=light&sort_col=hot&sort_dir=desc&status%5BAcknowledged%5D=true&status%5BClosed%5D=true&status%5BOpen%5D=true,Street Light,"3435 Colfax Ave N Minneapolis, MN",Acknowledged,6/3/2014,Lights,45.017898,-93.292163
http://seeclickfix.com/minneapolis?at=&page=3&q=street&sort_col=hot&sort_dir=desc&status%5BAcknowledged%5D=true&status%5BClosed%5D=true&status%5BOpen%5D=true,Street Light,"200-298 Arthur Avenue SE Minneapolis, MN 55414 ",Closed,9/5/2014,Lights,44.962704,-93.212814
http://seeclickfix.com/minneapolis?at=&page=3&q=light&sort_col=hot&sort_dir=desc&status%5BAcknowledged%5D=true&status%5BClosed%5D=true&status%5BOpen%5D=true,Street Light,"200-212 5th Avenue N Minneapolis, MN 55401 ",Acknowledged,7/19/2014,Lights,44.986575,-93.274121
http://seeclickfix.com/minneapolis?at=&page=3&q=street&sort_col=hot&sort_dir=desc&status%5BAcknowledged%5D=true&status%5BClosed%5D=true&status%5BOpen%5D=true,Street Light,"1633 E River Terrace Mississippi National River and Recreation Area Minneapolis, MN 55414 ",Closed,9/5/2014,Lights,44.961944,-93.213858
http://seeclickfix.com/minneapolis?at=&page=3&q=light&sort_col=hot&sort_dir=desc&status%5BAcknowledged%5D=true&status%5BClosed%5D=true&status%5BOpen%5D=true,Street Light,"2700 Hiawatha Avenue Minneapolis, MN 55407 ",Acknowledged,7/18/2014,Lights,44.953175,-93.243388
http://seeclickfix.com/minneapolis?at=&page=3&q=street&sort_col=hot&sort_dir=desc&status%5BAcknowledged%5D=true&status%5BClosed%5D=true&status%5BOpen%5D=true,Street Light,"2100-2146 Sharon Avenue SE Minneapolis, MN 55414 ",Closed,9/5/2014,Lights,44.962761,-93.209663
http://seeclickfix.com/minneapolis?at=&page=3&q=light&sort_col=hot&sort_dir=desc&status%5BAcknowledged%5D=true&status%5BClosed%5D=true&status%5BOpen%5D=true,Street Light,53rd Avenue N Brooklyn Center MN 55430 ,Acknowledged,6/18/2014,Lights,45.051164,-93.301737
http://seeclickfix.com/minneapolis?at=&page=4&q=light&sort_col=hot&sort_dir=desc&status%5BAcknowledged%5D=true&status%5BClosed%5D=true&status%5BOpen%5D=true,Street Light,"115 SE Main Street Mississippi National River and Recreation Area Minneapolis, MN 55414 ",Acknowledged,5/26/2014,Lights,44.984798,-93.255702
http://seeclickfix.com/minneapolis?at=&page=4&q=light&sort_col=hot&sort_dir=desc&status%5BAcknowledged%5D=true&status%5BClosed%5D=true&status%5BOpen%5D=true,Street Light,"53rd Avenue N Minneapolis, MN",Acknowledged,5/13/2014,Lights,45.051215,-93.307465
http://seeclickfix.com/minneapolis?at=&page=4&q=light&sort_col=hot&sort_dir=desc&status%5BAcknowledged%5D=true&status%5BClosed%5D=true&status%5BOpen%5D=true,Street Light,"351-399 Groveland Avenue Minneapolis, MN 55403 ",Acknowledged,5/6/2014,Lights,44.965652,-93.285272
http://seeclickfix.com/minneapolis?at=&page=4&q=light&sort_col=hot&sort_dir=desc&status%5BAcknowledged%5D=true&status%5BClosed%5D=true&status%5BOpen%5D=true,Street Light,"1st Avenue NE Mississippi National River and Recreation Area Minneapolis, MN 55401 ",Acknowledged,4/12/2014,Lights,45.025373,-93.281363
http://seeclickfix.com/minneapolis?at=&page=5&q=street&sort_col=hot&sort_dir=desc&status%5BAcknowledged%5D=true&status%5BClosed%5D=true&status%5BOpen%5D=true,Street Light,"Broadway And N 4th St Minneapolis, MN",Acknowledged,9/8/2014,Lights,44.999176,-93.284943
http://seeclickfix.com/minneapolis?at=&page=7&q=street&sort_col=hot&sort_dir=desc&status%5BAcknowledged%5D=true&status%5BClosed%5D=true&status%5BOpen%5D=true,Street Light,"2nd Avenue N & 3rd Street Minneapolis, MN 55401 ",Acknowledged,5/29/2014,Lights,44.982877,-93.272509
http://seeclickfix.com/minneapolis?at=&page=4&q=light&sort_col=hot&sort_dir=desc&status%5BAcknowledged%5D=true&status%5BClosed%5D=true&status%5BOpen%5D=true,Yellow box light,"1400-1498 E 28th St Minneapolis, MN",Acknowledged,6/7/2014,Lights,44.95196,-93.253746
