X,Y,Location,Cult,Image
-76.807823,42.090897,"Elmira, NY",COGWA,http://silenced.co/wp-content/uploads/2012/03/cogwa-150x150.png
-75.37188,40.629196,"Bethlehem, PA",COGWA,http://silenced.co/wp-content/uploads/2012/03/cogwa-150x150.png
-75.16571,39.953964,"Philadelphia, PA",COGWA,http://silenced.co/wp-content/uploads/2012/03/cogwa-150x150.png
-76.72628,39.962914,"York, PA",COGWA,http://silenced.co/wp-content/uploads/2012/03/cogwa-150x150.png
-73.554169,45.508888,"Montreal, Canada",COGWA,http://silenced.co/wp-content/uploads/2012/03/cogwa-150x150.png
-75.698196,45.411572,"Ottawa, Canada",COGWA,http://silenced.co/wp-content/uploads/2012/03/cogwa-150x150.png
-85.40136,44.253437,"Cadillac, MI",COGWA,http://silenced.co/wp-content/uploads/2012/03/cogwa-150x150.png
-85.668983,42.964714,"Grand Rapids, MI",COGWA,http://silenced.co/wp-content/uploads/2012/03/cogwa-150x150.png
-85.582642,42.292675,"Kalamazoo, MI",COGWA,http://silenced.co/wp-content/uploads/2012/03/cogwa-150x150.png
-81.381226,40.803154,"Canton, OH",COGWA,http://silenced.co/wp-content/uploads/2012/03/cogwa-150x150.png
-82.514877,40.763123,"Mansfield, OH",COGWA,http://silenced.co/wp-content/uploads/2012/03/cogwa-150x150.png
-81.513748,41.082973,"Akron, OH",COGWA,http://silenced.co/wp-content/uploads/2012/03/cogwa-150x150.png
-80.650635,41.103416,"Youngstown, OH",COGWA,http://silenced.co/wp-content/uploads/2012/03/cogwa-150x150.png
-104.817123,38.851475,"Colorado Springs, CO",COGWA,http://silenced.co/wp-content/uploads/2012/03/cogwa-150x150.png
-104.984665,39.753128,"Denver, CO",COGWA,http://silenced.co/wp-content/uploads/2012/03/cogwa-150x150.png
-105.070152,40.408791,"Loveland, CO",COGWA,http://silenced.co/wp-content/uploads/2012/03/cogwa-150x150.png
-108.544579,39.065849,"Grand Junction, CO",COGWA,http://silenced.co/wp-content/uploads/2012/03/cogwa-150x150.png
-111.891045,40.76078,"Salt Lake City, UT",COGWA,http://silenced.co/wp-content/uploads/2012/03/cogwa-150x150.png
-124.166962,40.802376,"Eureka, CA",COGWA,http://silenced.co/wp-content/uploads/2012/03/cogwa-150x150.png
-92.638779,32.52858,"Ruston, LA",COGWA,http://silenced.co/wp-content/uploads/2012/03/cogwa-150x150.png
-94.047775,33.429722,"Texarkana, TX",COGWA,http://silenced.co/wp-content/uploads/2012/03/cogwa-150x150.png
-94.577179,39.114079,Kansas City,COGWA,http://silenced.co/wp-content/uploads/2012/03/cogwa-150x150.png
-92.335281,38.955402,"Columbia, MO",COGWA,http://silenced.co/wp-content/uploads/2012/03/cogwa-150x150.png
-94.836388,39.757778,"St Joseph, MO",COGWA,http://silenced.co/wp-content/uploads/2012/03/cogwa-150x150.png
-95.388794,30.028679,"Houston North, TX",COGWA,http://silenced.co/wp-content/uploads/2012/03/cogwa-150x150.png
-95.547752,30.725309,"Huntsville, TX",COGWA,http://silenced.co/wp-content/uploads/2012/03/cogwa-150x150.png
-71.784668,42.236652,"Worcester, MA",COGWA,http://silenced.co/wp-content/uploads/2012/03/cogwa-150x150.png
-97.320328,32.740505,"Ft. Worth, TX",COGWA,http://silenced.co/wp-content/uploads/2012/03/cogwa-150x150.png
-82.133102,29.189634,"Ocala, FL",COGWA,http://silenced.co/wp-content/uploads/2012/03/cogwa-150x150.png
