X	Y	Location	Cult	Image
-92.33406839	38.95170713	"MO, Columbia"	Intercontinental Church of God	http://silenced.co/wp-content/uploads/2012/03/intcog.png
-94.57856573	39.09973115	"MO, Kansas City"	Intercontinental Church of God	http://silenced.co/wp-content/uploads/2012/03/intcog.png
-90.39288308	36.75700418	"MO, Poplar Bluff"	Intercontinental Church of God	http://silenced.co/wp-content/uploads/2012/03/intcog.png
-90.19940408	38.62700505	"MO, Saint Louis"	Intercontinental Church of God	http://silenced.co/wp-content/uploads/2012/03/intcog.png
-93.29229804	37.20895909	"MO, Springfield"	Intercontinental Church of God	http://silenced.co/wp-content/uploads/2012/03/intcog.png
-91.96987242	36.99227841	"MO, Willow Springs"	Intercontinental Church of God	http://silenced.co/wp-content/uploads/2012/03/intcog.png
-90.18480937	32.29875961	"MS, Jackson"	Intercontinental Church of God	http://silenced.co/wp-content/uploads/2012/03/intcog.png
-88.7033812	34.25760928	"MS, Tupelo"	Intercontinental Church of God	http://silenced.co/wp-content/uploads/2012/03/intcog.png
-78.8783538	35.05266797	"NC, Fayetteville"	Intercontinental Church of God	http://silenced.co/wp-content/uploads/2012/03/intcog.png
-81.68481451	35.74541203	"NC, Morganton"	Intercontinental Church of God	http://silenced.co/wp-content/uploads/2012/03/intcog.png
-80.00531272	35.95569676	"NC, High Point"	Intercontinental Church of God	http://silenced.co/wp-content/uploads/2012/03/intcog.png
-78.01953794	42.31298576	"NY, Allegany"	Intercontinental Church of God	http://silenced.co/wp-content/uploads/2012/03/intcog.png
-78.87836608	42.88644914	"NY, Buffalo"	Intercontinental Church of God	http://silenced.co/wp-content/uploads/2012/03/intcog.png
-84.36216063	39.44033851	"OH, Monroe"	Intercontinental Church of God	http://silenced.co/wp-content/uploads/2012/03/intcog.png
-95.62024395	34.231216	"OK, Antlers"	Intercontinental Church of God	http://silenced.co/wp-content/uploads/2012/03/intcog.png
-97.51642383	35.46756041	"OK, Oklahoma City"	Intercontinental Church of God	http://silenced.co/wp-content/uploads/2012/03/intcog.png
-95.99277006	36.15398188	"OK, Tulsa"	Intercontinental Church of God	http://silenced.co/wp-content/uploads/2012/03/intcog.png
-78.01027776	40.48479699	"PA, Huntingdon"	Intercontinental Church of God	http://silenced.co/wp-content/uploads/2012/03/intcog.png
-77.00107642	41.24118986	"PA, Williamsport"	Intercontinental Church of God	http://silenced.co/wp-content/uploads/2012/03/intcog.png
-80.98243449	35.02187321	"SC, Ft. Mills"	Intercontinental Church of God	http://silenced.co/wp-content/uploads/2012/03/intcog.png
-85.30967835	35.04563288	"TN, Chattanooga"	Intercontinental Church of God	http://silenced.co/wp-content/uploads/2012/03/intcog.png
-85.50164026	36.16284182	"TN, Cookeville"	Intercontinental Church of God	http://silenced.co/wp-content/uploads/2012/03/intcog.png
-88.81394576	35.61452025	"TN, Jackson"	Intercontinental Church of God	http://silenced.co/wp-content/uploads/2012/03/intcog.png
-82.56181574	36.54843428	"TN, Kingsport"	Intercontinental Church of God	http://silenced.co/wp-content/uploads/2012/03/intcog.png
-83.92073495	35.96064033	"TN, Knoxville"	Intercontinental Church of God	http://silenced.co/wp-content/uploads/2012/03/intcog.png
-90.0489801	35.14953887	"TN, Memphis"	Intercontinental Church of God	http://silenced.co/wp-content/uploads/2012/03/intcog.png
-86.78333013	36.16666768	"TN, Nashville"	Intercontinental Church of God	http://silenced.co/wp-content/uploads/2012/03/intcog.png
-99.73313918	32.44873943	"TX, Abilene"	Intercontinental Church of God	http://silenced.co/wp-content/uploads/2012/03/intcog.png
-97.74305954	30.26715638	"TX, Austin"	Intercontinental Church of God	http://silenced.co/wp-content/uploads/2012/03/intcog.png
-96.36995862	30.67436621	"TX, Bryan"	Intercontinental Church of God	http://silenced.co/wp-content/uploads/2012/03/intcog.png
-96.80044953	32.78014419	"TX, Dallas/Fort Worth"	Intercontinental Church of God	http://silenced.co/wp-content/uploads/2012/03/intcog.png
-95.3693854	29.76019555	"TX, Houston"	Intercontinental Church of God	http://silenced.co/wp-content/uploads/2012/03/intcog.png
-100.4370328	31.46377379	"TX, San Angelo"	Intercontinental Church of God	http://silenced.co/wp-content/uploads/2012/03/intcog.png
