longitude,latitude,Location,Cult,Image
-77.00107642,41.24118986,"PA, Williamsport",Intercontinental Church of God,http://silenced.co/wp-content/uploads/2012/03/intcog.png
-80.98243449,35.02187321,"SC, Ft. Mills",Intercontinental Church of God,http://silenced.co/wp-content/uploads/2012/03/intcog.png
-85.30967835,35.04563288,"TN, Chattanooga",Intercontinental Church of God,http://silenced.co/wp-content/uploads/2012/03/intcog.png
-85.50164026,36.16284182,"TN, Cookeville",Intercontinental Church of God,http://silenced.co/wp-content/uploads/2012/03/intcog.png
-88.81394576,35.61452025,"TN, Jackson",Intercontinental Church of God,http://silenced.co/wp-content/uploads/2012/03/intcog.png
-82.56181574,36.54843428,"TN, Kingsport",Intercontinental Church of God,http://silenced.co/wp-content/uploads/2012/03/intcog.png
-83.92073495,35.96064033,"TN, Knoxville",Intercontinental Church of God,http://silenced.co/wp-content/uploads/2012/03/intcog.png
-90.0489801,35.14953887,"TN, Memphis",Intercontinental Church of God,http://silenced.co/wp-content/uploads/2012/03/intcog.png
-86.78333013,36.16666768,"TN, Nashville",Intercontinental Church of God,http://silenced.co/wp-content/uploads/2012/03/intcog.png
-99.73313918,32.44873943,"TX, Abilene",Intercontinental Church of God,http://silenced.co/wp-content/uploads/2012/03/intcog.png
-97.74305954,30.26715638,"TX, Austin",Intercontinental Church of God,http://silenced.co/wp-content/uploads/2012/03/intcog.png
-96.36995862,30.67436621,"TX, Bryan",Intercontinental Church of God,http://silenced.co/wp-content/uploads/2012/03/intcog.png
-96.80044953,32.78014419,"TX, Dallas/Fort Worth",Intercontinental Church of God,http://silenced.co/wp-content/uploads/2012/03/intcog.png
-95.3693854,29.76019555,"TX, Houston",Intercontinental Church of God,http://silenced.co/wp-content/uploads/2012/03/intcog.png
-100.4370328,31.46377379,"TX, San Angelo",Intercontinental Church of God,http://silenced.co/wp-content/uploads/2012/03/intcog.png
-95.30105964,32.3512632,"TX, Tyler",Intercontinental Church of God,http://silenced.co/wp-content/uploads/2012/03/intcog.png
-97.14666635,31.54933509,"TX, Waco",Intercontinental Church of God,http://silenced.co/wp-content/uploads/2012/03/intcog.png
-111.8910427,40.76078271,"UT, Salt Lake City",Intercontinental Church of God,http://silenced.co/wp-content/uploads/2012/03/intcog.png
-79.39501845,36.5859728,"VA, Danville",Intercontinental Church of God,http://silenced.co/wp-content/uploads/2012/03/intcog.png
-77.43604552,37.54072792,"VA, Richmond",Intercontinental Church of God,http://silenced.co/wp-content/uploads/2012/03/intcog.png
-79.94142557,37.27097074,"VA, Roanoke",Intercontinental Church of God,http://silenced.co/wp-content/uploads/2012/03/intcog.png
-122.9006907,47.03787454,"WA, Olympia",Intercontinental Church of God,http://silenced.co/wp-content/uploads/2012/03/intcog.png
-120.5058975,46.60207473,"WA, Yakima",Intercontinental Church of God,http://silenced.co/wp-content/uploads/2012/03/intcog.png
-80.85621566,39.09564408,"WV, Auburn",Intercontinental Church of God,http://silenced.co/wp-content/uploads/2012/03/intcog.png
150.9133856,-34.33385865,"AU, Bulli, NSW",Intercontinental Church of God,http://silenced.co/wp-content/uploads/2012/03/intcog.png
153.4256996,-28.01725704,"AU, Gold Coast",Intercontinental Church of God,http://silenced.co/wp-content/uploads/2012/03/intcog.png
149.124228,-35.30823522,"AU, Canberra",Intercontinental Church of God,http://silenced.co/wp-content/uploads/2012/03/intcog.png
151.7431649,-32.76209662,"AU, Raymond Terrace, NSW",Intercontinental Church of God,http://silenced.co/wp-content/uploads/2012/03/intcog.png
151.2069917,-33.86748344,"AU, Sydney",Intercontinental Church of God,http://silenced.co/wp-content/uploads/2012/03/intcog.png
-114.0580976,51.04532618,"AB, Calgary",Intercontinental Church of God,http://silenced.co/wp-content/uploads/2012/03/intcog.png
-123.9400608,49.16588454,"BC, Nanaimo",Intercontinental Church of God,http://silenced.co/wp-content/uploads/2012/03/intcog.png
-66.06330567,45.27331598,"NB, St. John",Intercontinental Church of God,http://silenced.co/wp-content/uploads/2012/03/intcog.png
-75.72757669,45.37600447,"ON, Kingston/Ottawa",Intercontinental Church of God,http://silenced.co/wp-content/uploads/2012/03/intcog.png
-81.00999744,46.49000218,"ON, Sudbury",Intercontinental Church of God,http://silenced.co/wp-content/uploads/2012/03/intcog.png
-78.31974239,44.30906191,"ON, Peterborough",Intercontinental Church of God,http://silenced.co/wp-content/uploads/2012/03/intcog.png
-81.2431754,42.98695173,"ON, London",Intercontinental Church of God,http://silenced.co/wp-content/uploads/2012/03/intcog.png
-79.38318076,43.65322806,"ON, Toronto",Intercontinental Church of God,http://silenced.co/wp-content/uploads/2012/03/intcog.png
10.75224595,59.91386912,"NO, Oslo",Intercontinental Church of God,http://silenced.co/wp-content/uploads/2012/03/intcog.png
-0.119819717,51.51121501,"UK, London",Intercontinental Church of God,http://silenced.co/wp-content/uploads/2012/03/intcog.png
